metric_id,sido,sigungu,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,PM10_연평균,PM10_봄,PM10_여름,PM10_가을,PM10_겨울,pre_outlier_cleaned_value,score_100
pm10,전라남도,강진,23.0,24.0,32.0,35.0,,23.0,20.0,25.0,21.0,21.0,21.0,21.0,24.18,33.5,22.67,21.0,22.67,24.18,72.45
pm10,전라남도,곡성,26.0,24.0,35.0,36.0,25.0,20.0,14.0,19.0,16.0,18.0,20.0,22.0,22.92,32.0,17.67,18.0,24.0,22.92,78.75
pm10,전라남도,구례,28.0,24.0,40.0,37.0,23.0,20.0,11.0,17.0,14.0,16.0,,21.0,22.82,33.33,16.0,15.0,24.33,22.82,79.25
pm10,전라남도,보성,26.0,24.0,38.0,38.0,25.0,21.0,18.0,23.0,19.0,20.0,21.0,21.0,24.5,33.67,20.67,20.0,23.67,24.5,70.85
pm10,전라남도,도평균,26.0,25.0,38.0,41.0,28.0,23.0,17.0,22.0,19.0,21.0,22.0,22.0,25.33,35.67,20.67,20.67,24.33,25.33,66.7
pm10,경상북도,영덕,22.0,21.0,40.0,56.0,25.0,27.0,19.0,21.0,17.0,16.0,19.0,22.0,25.42,40.33,22.33,17.33,21.67,25.42,66.25
pm10,경상북도,영천,30.0,22.0,40.0,55.0,25.0,25.0,19.0,19.0,16.0,20.0,28.0,28.0,27.25,40.0,21.0,21.33,26.67,27.25,57.1
pm10,경상북도,의성,30.0,23.0,42.0,46.0,28.0,27.0,18.0,20.0,18.0,18.0,22.0,26.0,26.5,38.67,21.67,19.33,26.33,26.5,60.85
pm10,경상북도,울릉도,22.0,24.0,39.0,61.0,26.0,24.0,18.0,19.0,16.0,20.0,21.0,21.0,25.92,42.0,20.33,19.0,22.33,25.92,63.75
pm10,경상북도,포항,35.0,33.0,50.0,71.0,39.0,38.0,26.0,29.0,27.0,30.0,35.0,34.0,37.25,53.33,31.0,30.67,34.0,37.25,7.1
pm10,경상북도,구미,41.0,34.0,50.0,53.0,30.0,27.0,18.0,21.0,21.0,25.0,31.0,34.0,32.08,44.33,22.0,25.67,36.33,32.08,32.95
pm10,경상북도,김천,44.0,36.0,53.0,55.0,38.0,36.0,25.0,26.0,24.0,26.0,32.0,35.0,35.83,48.67,29.0,27.33,38.33,35.83,14.2
pm10,경상북도,경주,24.0,22.0,38.0,55.0,27.0,28.0,16.0,17.0,16.0,18.0,22.0,24.0,25.58,40.0,20.33,18.67,23.33,25.58,65.45
pm10,경상북도,안동,35.0,26.0,49.0,57.0,31.0,30.0,24.0,25.0,22.0,25.0,30.0,37.0,32.58,45.67,26.33,25.67,32.67,32.58,30.45
pm10,경상북도,영주,47.0,41.0,62.0,68.0,37.0,34.0,25.0,25.0,23.0,26.0,34.0,42.0,38.67,55.67,28.0,27.67,43.33,38.67,0.0
pm10,경상북도,경산,34.0,26.0,41.0,56.0,28.0,31.0,23.0,25.0,22.0,24.0,27.0,28.0,30.42,41.67,26.33,24.33,29.33,30.42,41.25
pm10,경상북도,상주,29.0,24.0,44.0,46.0,31.0,28.0,15.0,16.0,13.0,19.0,24.0,25.0,26.17,40.33,19.67,18.67,26.0,26.17,62.5
pm10,경상북도,칠곡,36.0,29.0,45.0,53.0,30.0,28.0,21.0,20.0,18.0,23.0,27.0,29.0,29.92,42.67,23.0,22.67,31.33,29.92,43.75
pm10,경상북도,울진,23.0,19.0,38.0,57.0,23.0,22.0,16.0,17.0,15.0,14.0,16.0,18.0,23.17,39.33,18.33,15.0,20.0,23.17,77.5
pm10,경상북도,봉화,21.0,17.0,34.0,44.0,21.0,21.0,14.0,14.0,12.0,13.0,17.0,20.0,20.67,33.0,16.33,14.0,19.33,20.67,90.0
pm10,경상북도,고령,31.0,27.0,40.0,47.0,30.0,28.0,21.0,22.0,20.0,23.0,,,28.9,39.0,23.67,21.5,29.0,28.9,48.85
pm10,경상북도,성주,33.0,30.0,44.0,48.0,31.0,29.0,21.0,21.0,21.0,23.0,27.0,31.0,29.92,41.0,23.67,23.67,31.33,29.92,43.75
pm10,경상북도,예천,28.0,21.0,42.0,50.0,26.0,23.0,18.0,20.0,18.0,18.0,20.0,24.0,25.67,39.33,20.33,18.67,24.33,25.67,65.0
pm10,경상북도,청도,25.0,20.0,34.0,45.0,24.0,26.0,16.0,15.0,14.0,14.0,21.0,23.0,23.08,34.33,19.0,16.33,22.67,23.08,77.95
pm10,경상북도,청송,26.0,18.0,39.0,47.0,20.0,21.0,16.0,16.0,14.0,15.0,18.0,22.0,22.67,35.33,17.67,15.67,22.0,22.67,80.0
pm10,경상북도,영양,27.0,21.0,41.0,49.0,20.0,20.0,14.0,13.0,13.0,17.0,22.0,25.0,23.5,36.67,15.67,17.33,24.33,23.5,75.85
pm10,경상북도,문경,30.0,25.0,43.0,49.0,26.0,24.0,15.0,18.0,15.0,20.0,26.0,28.0,26.58,39.33,19.0,20.33,27.67,26.58,60.45
pm10,경상북도,도평균,33.0,28.0,45.0,57.0,31.0,30.0,21.0,22.0,20.0,23.0,28.0,30.0,30.67,44.33,24.33,23.67,30.33,30.67,40.0
pm10,경상남도,창원,25.0,21.0,34.0,48.0,26.0,25.0,17.0,21.0,17.0,18.0,20.0,21.0,24.42,36.0,21.0,18.33,22.33,24.42,71.25
pm10,경상남도,진주,28.0,24.0,38.0,46.0,26.0,24.0,16.0,20.0,17.0,18.0,21.0,24.0,25.17,36.67,20.0,18.67,25.33,25.17,67.5
pm10,경상남도,하동,20.0,17.0,32.0,39.0,25.0,22.0,15.0,20.0,16.0,14.0,14.0,15.0,20.75,32.0,19.0,14.67,17.33,20.75,89.6
